original_text,translated_text_en
Roti John siyes ckp wee..beli je allahu..ayam sikit sos banyak nyee kenyang roti dia je,John's bread siyes ckp wee.. just buy it allahu.. a little bit of chicken with a lot of sauce is enough for his bread
Terima kasih PMX Malaysia kerana berjaya dalam urus ttg hal ini 😂❤❤,Thank you PMX Malaysia for being successful in dealing with this matter 😂❤❤
"Minyak kasi turun,str pulak dia bagi kurang,apa bezanya.","Because the oil is down, the str will be less, what's the difference."
10 paranormal yang bahaya pernah orang buat,10 dangerous paranormal things people have ever done
"Rakyat berharap yuran persekolahan juga dikurangkan tidak melebihi dari rm100,pibg dimansuhkan..kesian gan ibubapa yg menangung ramai anak bersokolah","The people hope that the school fees will also be reduced to no more than rm100, that the PIBG will be abolished."
"T20 ke, M40 ke, B40 ke, semua rakyat juga. Sebelum nak cekik rakyat lagi, baik mansuhkan pencen MP ADUN, kurangkan elaun2 dorang, jangan guna polis iringan dan wajibkan wakil rakyat guna pengangkutan awam sekurang-kurangnya sekali seminggu","T20th, M40th, B40th, all the people too. Before you want to strangle the people again, better abolish the pension of MPs and councilors, reduce their allowances, don't use police escorts and make it mandatory for elected representatives to use public transport at least once a week"
0% ayam 100% telur Ayam tak da tapi trlur ada hahahaha😂,0% chicken 100% eggs There are no chickens but there are a lot of them hahahaha😂
Cuaca mendung.. insyaallah raya Sabtu..anak bulan X nmpk😂,The weather is cloudy.. Insyaallah Raya Saturday.. moon child X nmpk😂
Cuti rakyat memng seminggu pun Ikut dri pada syarikat lh..lgi pun orang Islam wajib Ambi cuti lbih.lgi pun kita ada cuti tahunan,People's holidays are even a week. Follow from the company.. Muslims are also obliged to take more holidays. We also have annual holidays.
Bantuan sara hanye boleh tebus ape yg boleh je .. kalau wang tunai boleh guna ape yg di perlukan .. Bukan semua senang boleh bg anak belanje sekolah boleh bayar apa yg patut ..,Support can only be redeemed as much as possible .. if cash can be used for what is needed .. Not everything is easy for children to spend on school can pay what is appropriate ..
Expired $ SARA tu sampai bln apa ek..,"Expired $ SARA, how long will it last?"
Kalo Sabtu rayaaa..bolehlah tdo balik mlm nie..kalo x kenaa berjaga malam hahahaa masak2..,If it's Saturday..you can come back tonight..if you don't have to stay up all night hahaha cook..
klu x selasa.. isnin tahun depan.. 🤣🤣,if it's Tuesday.. Monday next year.. 🤣🤣
"Dah umum, sabtu raya","It's public, Saturday Raya"
Bank Islam vx dapat lagi,Bank Islam vx can get it again
Tugas utama PM bukan bagi cuti sebaliknya laksanakan RCI SPRM itu paling utama,"The prime minister's duty is not to take leave, but to implement the RCI of the MACC"
Bagi je epf duit kami,Just share our money
IC kita..Jual pulak minyak tu kewarga asing..tu yg perlu kita bendung..kalau 15 hari dah habis subsidi tu..kita untung juga pasal kerajaan tlg ringankan duit minyak tu..syukur selalu.,Our IC..sell the oil to foreigners..that is what we need to curb..if the subsidy runs out in 15 days..we are also lucky because the government has eased the oil money..thank you always.
di bulan ramadhan ka bulan2 biasa ka..aku suruh bini aku masak kt umah .puas makan..sbb dok beli makanan org masak sellu nk maki ja..,"In the month of Ramadhan, are you normal months? I told my wife to cook at home. She was satisfied."
bodo..Sembang billiom2 0:45 pelabur pastu buang str bujang.,stupid.. Billiom2 chat 0:45 investors should throw away single str.
Sesuai nama JPJ .. Jabatan Paling Jahat,True to the name JPJ .. The Worst Department
Takpe kami golongan kaya boleh boleh isi minyak RON 97,We rich people can't fill up with RON 97 oil
Bila raya ni..Klau x raya esok aku kena keje lagi ni..,When is Raya?
SARA biar kekal seperti biasa bermula April dan STR pun sama kekal seperti biasa untuk 2026 banyak membantu golongan B40 jangan tolak sana tambah sini,"Let SARA remain as usual from April and STR will also remain as usual for 2026 to help the B40 group a lot, don't push it, add it here"
Bau sampah-sarap terus melantung.,The smell of rubbish continued to linger.
Love u PMX Luangkan kasa mu,Love u PMX Take off your gauze
"Mana tak merapunya makanan kalau yang jual dan masak kebanyakkan konoha. Tak percaya ko tanya la diaorang. Orang2 kita kebanyakkan dah berumur, dah tak larat. Yang muda2 semua kerja. Last2 yang menjual konoha.",Where is the food if most of the people who sell and cook it are in Konoha? I can't believe I asked him. Most of our people are old and unwell. The young ones all work. Last2 who sold konoha.
Cadangan : sepuluh puting beliung yang paling bahaya di dunia,Suggestion: the ten most dangerous tornadoes in the world
"Kerajaan tolong sekat My kasih /sara untuk produk santan kara,kopi kapal api, indocoffe, mee sedap,indo mee.kita kena bantu produk tempatan..klo di seberang mereka tak akan sokong mna2 produk kita di negara mereka ..ayuh kerajaan tolong ubah system My kasih/sara hanya untuk produk tempatan sahaja","Government please block My kasih / sara for coconut milk products, api kapal coffee, indocoffe, mee sedap, indo mee. we have to help local products.. if on the other side they won't support any of our products in their country .. come on government please change the My kasih / sara system only for local products"
"Pendapat aku org2 kaya atau sesiapa bergaji besar tu tak perlulah SUBSiDI MINYAK BUDI95 sbb mereka berkemampuan.Mereka boleh support bantu org2 yg terbeban sedangkan org yg tak punya lesen tak semua nyar kaya2 tapi terpaksa tampung SUBSiDI juga.Para2 menteri,YB,tan Sri tu sedarlah anda bukan org yg terbeban dan susah pun.Projek juta2,bilion2 takkan nak tumpang guna SUBSIDI juga. 🖕 KERAjaan Madanon Kunyit","My opinion is that rich people or those with high salaries don't need the BUDI95 OIL SUBSIDY because they are capable. They can support and help people who are burdened, while people who don't have a license are not all rich but have to accept SUBSIDI too. Ministers, YB, tan Sri, realize that you are not burdened and difficult people. Projects of millions, billions will not want to use SUBSIDI too. 🖕 KINGDOM Madanon Kunyit"
Alhamdulillah ❤ Terima Kasih PMX 🎉🎉Madani Terbaik,Alhamdulillah ❤ Thank you PMX 🎉🎉Best Madani
"Terima kasih FMT. Hak rakyat Malaysia perlu dihormati. Mereka bayar cukai. Semua rakyat Malaysia bayar cukai. Fakta kukuh dan secara realiti. Setiap saat cukai dikutip secara aktif. Hidup mahupun meninggal. Bayi, muda, tua, miskin mahupun kaya. Bayar lampin, susu, urusan jenazah, dokumen dan sebagainya. Sudah buat semakan dan rujukan ChatGPT. Maaf, pendapat peribadi saya sahaja. Betulkan jika saya silap. 23/5/26","Thank you FMT. The rights of Malaysians need to be respected. They pay taxes. All Malaysians pay taxes. Solid facts and reality. Every moment taxes are actively collected. Live or die. Babies, young, old, poor or rich. Pay for diapers, milk, funeral arrangements, documents and so on. Have already reviewed and referenced ChatGPT. Sorry, just my personal opinion. Correct me if I'm wrong. 5/23/26"
Sebab tu kalau nak beli cari org yg mmg dia kerja buat kueh ataupun mmg dia ada kedai berniaga. Kalau yg setaun sekali tu xpayah le ko beli. Nasib2 je jmpa yg sedap 😅😅😅,"That's why if you want to buy, look for someone who actually works to make cakes or even has a business shop. If it's only once a year, I don't need to buy it. It's good luck to find a good one 😅😅😅"
Bang pergi ke Selangor masa petang & tengah hari ada bazar malam tapi ada roti John,Brother goes to Selangor in the afternoon and afternoon there is a night bazaar but there is John's bread
"Kadang penjaga ni jual mahal sangat dan kurangkan inti disebabkan gerai yang mereka sewa tu terlampau mahal..saya pula tak tahu yang gerai dan tapak ramadhan ini disewa ke bukan?? Kalau gerai tu disewa dari Dewan Bandaraya ke, atau pun mana2 penyewa, harga sewa tu terlalu tinggi, maka terjadi lah harga mahal, yang tak nak jual mahal, boleh, tapi inti pula dikurangkan, jadi tak nyaman lah..kalau boleh, buat penyewa2 tu, kurangkan lah harga sewa itu..kalau boleh tak payah sewa, halal je, bulan puasa ni..siapa dulu daftar, dia lah yang akan dapat gerai tu dulu.. Insyaallah, harga barang di Bazar Ramadhan, akan jauh lebih murah, jauh lebih sedap, penuh inti ,dari hari biasa","Sometimes these caretakers sell very expensive and reduce the value because the stalls they rent are too expensive.. I also don't know if these stalls and the Ramadhan site are rented, right?? If the stall is rented from the City Hall to, or any other tenant, the rent price is too high, then the price is high, those who don't want to sell expensive, can, but the essence is also reduced, so it's not comfortable.. if possible, for the tenants, reduce the rent price.. if possible, you don't have to pay rent, it's halal, this fasting month.. whoever registers first, he will get the stall first.. God willing, the price of goods in the Ramadhan Bazaar will be much cheaper, much tastier, full of essence, from a normal day"
Hari ini saya jd PM besok minyak turun,"Today I am PM, tomorrow oil will go down"
JPJ kamu mesti dengar ini tuan besar punya cakap lah..,JPJ you must listen to what the big man has to say..
"lebih baik lesen fizikal la senang, digital nak kena login. lupa password susah. adoi","it's better to have a physical license, it's easy, a digital one has to be logged in. forgetting the password is difficult. wait"
Aku bernasib baik kerana beraya bersama kakak sulung dan abang,I was lucky because I celebrated with my eldest sister and brother
Spin duit pun pandai😅,Money spin is also good 😅
x dftar xlh bka my jpj sibat,x dlftar xlh bka my jpj whip
Memang betul JPJ kedang2 bikin sakit hati juga.,It's true that JPJ is hurting people's hearts too.
Lah..ku baru buat minggu lepas ..xde gambo pun..kena buat lagi ke,Nah.. I just made it last week .. I don't even have gambo.. I have to make it again
Ade lagi ke yang sokong anuar,Ade is the one who supports Anuar
Kuat kincing punya olang,Loud ringing has a problem
Alhamdulillah Terima kasih kepada PMX👍🤲🏽❤,Alhamdulillah Thanks to PMX👍🤲🏽❤
Sebelum tu kaji balik yg geng2 Bangla berkerja di stesen minyak rasanya bkn sektor 3d pon sbb rakyat tempatan bole BT isikan minyak org ni boleh kata geng2 ni kuasai stesen minyak,"Before that, if you look back at the Bangla gangs working at the gas station, it doesn't seem to be the 3d sector because the local people let BT fill up the gas, so you can say that these gangs control the gas station"
Dulu sebelom hang pon ade lah..lgi lama,It used to be a long time ago
betul tu uncle terus gasak💪👍💪,"That's right, uncle kept pushing 💪👍💪"
Ckf tahu satu hari ckf tidak ada ibu bapa,Ckf know one day ckf will not have parents
Gak ada yg genah masakkan ny😅,No one bothers to cook it😅
aku dpt 50 warga emas anak 4..warga emas ank berkerja gaji 5k keatas dpt 100..mcmna..😂😂😂bawang penting xtermasuk senarai mcmna..,I get 50 elderly people with 4 children.. elderly people who work for a salary of 5k and above can get 100..how..😂😂😂 important onions are not included in the list..
"Pi mai pi mai tang tu jugak.. Yg untung kerajaan.. Tokey2 besar senyum lebar.. Duit yg rakyat dpt, dapat kt tokey2 dn kerajaan jugak..Untung2.. Siapa nk buat bisnis klu dpt rugi..","Pi mai pi mai tang that's right.. The government's profiteers.. The big tokeys are smiling wide.. The money that the people get, the tokeys and the government can get too.. Good luck.. Who wants to do business when they can lose.."
Nk isi kt Genset utk berniaga pasal malam x blh ke isi dlm tong?,"If you want to fill the generator for business at night, can you fill it in a barrel?"
semua org dapat ke bantuan sara rm100?,can everyone get rm100 support?
Raya jatu hari jumaat percaya lah,Raya jatu on Friday believe me
JPJ yg potong double Line sita je,JPJ which cuts the double line is confiscated
alhamdulillah sabtu raya..selamat hari raya semuanya,Alhamdulillah Saturday Raya.. happy Raya everyone
"Aku beli guna tong utk motor2 kat rumah dan mesin blower. Biasanya beli stakat rm20 / rm30.. .. Salah ke? Mungkin lepas ni kena isi penuh, smpai rumah, pam keluar masuk dlm tong.","I bought a used barrel for the motors at home and the blower machine. Usually buy stakat rm20 / rm30.. .. Is it wrong? Maybe after this it has to be full, until the house, the pump goes in and out of the barrel."
Bohong pm negara yang tidak ada kebijakan dalam negara..tak layak jadi perdana menteri,It's a lie that the country's prime minister has no policy in the country... he's not worthy of being prime minister
"9:33 abg faktaw, ni lagu ape ye?","9:33 abg facts, with lagu ape?"
"Saspens pulak rasa, harap sabtu raya tak kelam kabut sgt 😅","It's suspenseful, I hope Saturday Raya isn't too foggy 😅"
Macam aku karipap sayur tanpa kentang dan kari😅😅,Like me vegetable curry without potatoes and curry😅😅
Last last GST vs SST😂,Last last GST vs SST😂
"Donlod my jpj,dh isi semua data..tapi x blh guna smpai skg,siap srh pegawai jpj tolong daftar lg,dia pun penin.tu pun x blh jgk,last gitau xpa la cik,kalau kena tahan saya tunjuk ja kertas yg dh bayo tu😂,menyusahkan ja dema ni,","I downloaded my jpj, filled in all the data.. but I can't use it yet, the jpj officer is ready to register again, he is also a penin. I can't do it either, lastly I know what to do, miss, if you have to hold me, show me the paper that I brought 😂, it's a hassle now,"
Mesti raya sabtu punya❤,It must be Raya Saturday ❤
Jgn marah pada pakatan Sila rujuk akta.. Oleh leaders politics umno guy's.. Ini lah kaedan Malaysia kini boleh suara because pakatan refomasi free suara.. Our responsibility like our Singh brother katanya segalanya Rakyat please go and research Bagaimana nak selesai.. Satu 2 nya jumpa lawyers.. B4 too late okay tq so much for your sharing and postive attitude towards helping people's 🎉❤,Don't be angry at the pact Please refer to the act.. By leaders politics umno guy's.. This is the Malaysian system now you can vote because the reformation pact is free.. Our responsibility like our Singh brother said everything Rakyat please go and research.
Sy pilih sabtu jumaat kerja,Sy choose saturday friday work
Says tak perish kena tipu,"Says, I don't think I'll be tricked"
kejap skrng ni cuti untuk pejabat awam je ke atau swasta sklii??,"Wait, is this a holiday for public or private offices??"
"TUKAR SUBSIDI PETROL WARGANEGARA 🇲🇾 YANG GUNA MYCARD OLEH --> JUTAWAN DAN TAUKE Y TERLEBIH MEWAH KE SUBSIDI T.N.B BIL ELEKTRIK RM20 ATAU RM15 KE BAWAH BULANAN (TEPAT SASARAN) RUMAH KELUARGA --> B40 TERBAWAH , BOLEH MEREKA BELI ANAK ANAK BELI BAJU BUNDLE ATAU KASUT SECOND HAND BIL ELEKTRIK YANG WAJIB D BAYAR .","CHANGE PETROL SUBSIDIES FOR CITIZENS 🇲🇾 WHO USE MYCARD BY --> THE MOST LUXURIOUS MILLIONAIRE AND TAUKE Y TO T.N.B SUBSIDIES ELECTRIC BILL RM20 OR RM15 UNDER MONTHLY (EXACTLY TARGET) FAMILY HOME --> B40 BELOW , THEY CAN BUY CHILDREN BUY BUNDLE SHIRTS OR SHOES SECOND HAND ELECTRIC BILL THAT IS MANDATORY D PAY."
hahahahahahaha 😂😂 faktaw ni lawak dari meme,hahahahahahaha 😂😂 facts of the joke from the meme
4:12 hahah tepung transformer 😂😂,4:12 hahah transformer flour 😂😂
Kuih muih 3 biji seringgit je kak ABG ada mee kari pecal rojak mee laksa.dan lauk pauk pun ada jemput singgah ye❤❤,"The 3-piece cake is so delicious, sister ABG, there is curry mee pecal rojak mee laksa. and side dishes are also available, please stop by ❤❤"
Molek mention slalu bazaar mne..biar org beringat,Molek always mentions bazaar mne..let people remember
beruntung nya penjawat awam..,lucky civil servant..
Bagitau la bazar mana lokasi tu. Senang pulaukan jualan nya. Jadi tidak lah ada pembaziran bg pembeli.,Tell him where the bazaar is located. Happy to sell it. So there is no waste for buyers.
nasib baik saya guna mesin rumput double AA Li Po Mah 10000w (Ultra senyap potong rumput..awa apa tau..created barang sendiri pon tak reti.),"Good luck, I use a double AA Li Po Mah 10000w lawn machine (Ultra quiet for cutting grass...what do you know...created my own stuff, no problem.)"
"Buat prosedur baru, guna kiraan falak. Gerhana bulan dan gerhana matahari boleh kira tepat, sepatutnya anak bulan atau bulan yang boleh dilihat setiap hari juga boleh dikira tepat insy. Maka buat istiharan awal memudah kan semua pihak.","Create a new procedure, use the astrological count. Lunar eclipses and solar eclipses can be calculated accurately, the moon or the moon that can be seen every day can also be calculated accurately. So make an early declaration to make it easier for all parties."
Kami sokong jika pmx di turunkan. . .,We support if pmx is taken down. . .
"Entah,setakat ni dapat semua yg ok2..setiap tahun peniaga yang sama,rasa pun sama..ada la juga tambah peniaga baru tp ok je..","I don't know, so far everything is ok.. every year the same dealer, it feels the same.. there are also new dealers added but it's ok.."
"Tahun ini, aku hanya sekali pergi pusat penjaja beli makanan berbuka. Tak jejak kaki ke bazar ramadhan.","This year, I only went to the hawker center to buy iftar food. No footsteps to the Ramadhan bazaar."
Boleh ckf tanya sara bujang is rm150 or rm200 dan bujang have strkah tidak kahwin tapi ibubapa sudah mati,Can I ask if the single support is rm150 or rm200 and the single is unmarried but the parents are dead
Hari ni hari isnin xde ape kite tunggu esok plak.,"Today is Monday, what are you waiting for tomorrow?"
Mane walanon T20 Kat sini? Jom ikut sama2.. SAYA ULANG LAGI SKALIIIII.. KALAU SAYA JADI PM.. HARGA MINYAKKK.. 😂😂😂,Where's the T20 wall here? Let's join together.. I'll repeat it AGAIN.. IF I AM PM.. OIL PRICES.. 😂😂😂
Sampai pegawai SPBU nya orang Bangladesh 😂,Even the gas station employee is Bangladeshi 😂
Dok belit 2 cakap weii,Doc belit 2 talk weii
Penjawat awam pun dah diumum sblom ini bantuan khas kewangan dpt pulak bantuan tambahan sebegini. Bersyukurlah .. bagi rakyat luar bandar harga barang keperluan harian tidak membebankan..,Civil servants have also been announced before this special financial assistance can receive additional assistance like this. Be thankful.. for rural people the price of daily necessities is not burdensome..
Memang immigration MY semua muka masam..🤔🤔hmm mungkin..??,It's true that MY immigration is all sour..🤔🤔 hmm maybe..??
Soni Goleh acah 🎉 Santokh Singh gold keeper . Loke kepala bola sepak 😂,Soni Goleh acah 🎉 Santokh Singh gold keeper. Open football head 😂
Tiap tahun pun ada masalah ini. Aduh! Masak Maggi pun lebih sedap dan fresh.,Every year there is this problem. Ouch! Cooking Maggi is tastier and fresher.
Halo aku dari indo,"Hello, I'm from Indonesia"
"Nk tengok jugak kan penghargaan luar biasa dia mcm mana,sebab ni luar biasa,kalau biasa2 je tak payah la kot","Nk tengok jugak kan penghargaan luar biasa dia mcm mana,sebab ni luar biasa,kalau biasa2 je tak payah la kot"
Verification cannot be completed. Apa masalah digital id ni. Menyusahkan org nk tgok roadtax,Verification cannot be completed. What is this digital id problem? Makes it difficult for people to check the road tax
macam jawapan bila orang tanya bila nak nikah je tak isnin selasa 😂😂,"what kind of answer when people ask when do you want to get married, not Monday or Tuesday 😂😂"
Jum vote naik gaji untuk penjawat awam..,Friday vote for salary increase for civil servants..
cara nak paksa orang daftar padu ke tu,how to force people to register together
Besok.boleh.dua.kali.sembahayang,Tomorrow. can. pray. twice
Chng choo ing is trangender juga😊,Chng choo ing is trangender juga😊
Pru16 nnti wajib turunkan kerajaan madani bengong.,Pru16 will soon have to bring down the civil government.
Alhamdulillah. Jimatttt AL saya. Thank you PMX! 🎉🎉,Alhamdulillah. Save my AL. Thank you PMX! 🎉🎉
"Sara hanya terhad untuk barang-barang kering sahaja, kan lebih baik kalau sara juga dapat digunakan untuk barang-barang basah","Sara is only limited to dry items, it would be better if Sara could also be used for wet items"
Somoga semua baik semula,Hope all is well again
Saya makan roti john ayam tapi rasa macam sabun,I ate chicken john bread but it tasted like soap
Macam mana nak renew secara manual?,How to renew manually?
"Naik lah harga ron 95 ke rm2.50 ,semua sama ,tak berat sebelah. Org bayar cukai sebulan beribu sebulan tapi di tekan kerajaan😮😮😮","Raise the price from ron 95 to rm2.50, all the same, no bias. People pay thousands a month in taxes but are pressured by the government😮😮😮"
Sabtu. Yahudi cuti setanyahu,Saturday Jewish holidays
T20 bkn rakyat? T20 penyokong kuat PH.,T20 not the people? T20 is a strong supporter of PH.
Inilah anuar bodoh bukan main,This is stupid anuar not kidding
Pm anwar bohong gula gula.,PM Anwar is lying sugar sugar.
Dh umum 12:52 sabtu,Dh general 12:52 Saturday
App digital id cam siall,App digital id cam siall
nmpk sgt ekonomi kerajaan jatuh 😏,It looks like the government's economy is falling 😏
Yang keras tu bukan ondeh2 tetapi kuih buah rotan bersaiz besar..😂,The hard one is not ondeh2 but a large rattan fruit cake..😂
Rakyat Malaysia harap Dapat la buka Mata .. suldority 26hb nie UTK kepentingan rakyat atau pulak..pulak dia Orang nie dah tak boleh sakau duit rakyat.,The people of Malaysia hope that he can open his eyes.. this suldority on the 26th is for the interests of the people or else.. this person can no longer use the people's money.
"Kalo sudah klaim negara maju tahun 2025, kenapa masih repot urusan petrol..? Lawak..","If countries claim to be developed by 2025, why are they still bothering with petrol...? Comedy.."
"PEGI MAMPOS LAA, KAMI JPJ KAMI PUNYA SUKA LAA, HIDUP SANTAI SANTAI SUDAH","GO MAMPOS LAA, WE ARE JPJ WE HAVE SUKA LAA, LIFE IS RELAXED ALREADY"
Digital menyusahkan..nak kena bukak phone laa ..entah apa2,Digital is inconvenient..you have to open the phone..I don't know what to do
Baru saya siasat particular baru tahu,I just investigated the particulars and found out
patut naik str!!haihhhh bukan boleh bli barang basah bayar elektrik pon menyusahkan laaa..mmg patut pmx turun!!x boleh jadi menteri bagi org lain la menyusakan rakyat!,"You should go up!! Haihhh, you can't buy wet goods and pay for electricity, it's a hassle.. you should go down!! You can't be a minister for other people, it's a hassle for the people!"
Apsal aku punya lesen digital tak ada gambar?? Menyusahkan org jee jpj ni nak kena update g jpj ..bodohh!! mmg badan uniform satu ni tahikk tak ada guna.. Nak urus lesen memandu pon carca marba..,If I have a digital license there is no picture?? It's bothering the jpj people who want to update their jpj ..stupid!! Even the body of this uniform is useless.. I want to manage the driver's license anyway.
10:40 anwar ibrahim darkweb 😂😂😂,10:40 anwar ibrahim darkweb 😂😂😂
"senang je, org miskin guna minyak gratis dr subsidi utk berlumba2 dn terlibat dlm kemalangan","it's easy, poor people use free fuel from subsidies to race and get involved in accidents"
Warga asing kasi setel,Foreigners set it up
Sebab itulah saya takut nak beli kuih dan makanan di pasar ramadhan sebab dah terkena😮,That's why I'm afraid to buy cakes and food at the Ramadhan market because I've been affected😮
Assalamualaikum faktaw kelakar betul video ni,"Assalamualaikum, this video is really funny"
